bank_name,debit_transactions,debit_amount,credit_transactions,credit_amount,month
MAHARASHTRA GRAMIN BANK,85901,11824.262,348471,7759.417,May 2019
MAHARASHTRA STATE CO-OP BANK,5433,3898.498,13689,14470.524,May 2019
MAHESH SAHAKARI BANK PUNE,6649,627.663,2845,521.212,May 2019
MASHREQ BANK,675,478.577,63,128.998,May 2019
MEHSANA URBAN CO-OP BANK,48399,4033.067,50059,5594.017,May 2019
MIZUHO CORP BANK,29600,17857.778,6999,27199.731,May 2019
MUMBAI DIST CENTRAL CO-OP BANK,13667,707.268,26453,1687.643,May 2019
MUNICIPAL CO-OP BANK,3451,196.196,3815,107.081,May 2019
NABARD BANK,125,7702.848,5,0.410,May 2019
NAGAR URBAN CO-OP BANK,13336,1609.832,11640,864.635,May 2019
NAGPUR NAGRIK SAHAKARI BANK,13728,1177.672,21889,1817.192,May 2019
NAINITAL BANK,48656,4258.314,65273,5298.142,May 2019
NATIONAL BANK OF ABU DHABI PJSC,481,597.607,6,49.106,May 2019
NAV JEEVAN CO-OP BANK,3516,415.929,737,81.788,May 2019
NEW INDIA CO-OP BANK,16902,1114.290,38919,2223.019,May 2019
NKGSB BANK,45244,4944.732,84247,4944.186,May 2019
NORTH EAST SMALL FINANCE BANK,8071,1986.529,999,2646.644,May 2019
NSDL PAYMENTS BANK,8,17.500,21,0.140,May 2019
NUTAN NAGARIK SAHAKARI BANK,21846,1418.583,31769,2530.980,May 2019
ORIENTAL BANK OF COMMERCE,1346971,125245.428,2722086,195794.196,May 2019
PRATHAMA BANK,38740,7282.117,121997,5904.720,May 2019
PRIME CO-OP BANK SURAT,17606,1220.252,20566,1174.401,May 2019
PUNJAB AND MAHARASHTRA CO-OP BANK,63901,3409.956,246081,7234.465,May 2019
PUNJAB AND SIND BANK,315962,36294.138,1011511,54831.097,May 2019
PUNJAB NATIONAL BANK,4398860,420102.165,11352896,723005.830,May 2019
PAYTM PAYMENTS BANK,261180,86123.863,393387,95123.805,May 2019
PRAGATHI KRISHNA GRAMIN BANK,58862,12717.328,132495,6713.319,May 2019
QATAR NATIONAL BANK,69,1289.994,20,21.854,May 2019
RABOBANK INTERNATIONAL,3097,4602.713,356,5594.227,May 2019
RAJARAMBAPU SAHAKARI BANK,13676,1253.451,4193,658.062,May 2019
RAJGURUNAGAR SAHAKARI BANK,10978,617.145,20855,652.156,May 2019
RAJKOT NAGARIK SAHAKARI BANK,16654,1086.526,30097,1861.859,May 2019
RBI PAD,27037515,1804384.350,1043923,184163.692,May 2019
RBL BANK,2847756,136703.474,1002502,132868.943,May 2019
SAMARTH SAHAKARI BANK SOLAPUR,4089,272.269,6818,280.521,May 2019
SANT SOPANKAKA SAHAKARI BANK,2135,132.815,100,7.436,May 2019
SARASWAT CO-OP BANK,335762,29891.553,612140,43063.793,May 2019
SBER BANK,209,105.504,36,260.857,May 2019
SBM BANK INDIA,1807,2874.639,1328,1337.566,May 2019
SEVA VIKAS CO-OP BANK,7487,367.401,30241,1162.770,May 2019
SHAMRAO VITHAL CO-OP BANK,195019,15917.136,339004,20940.639,May 2019
SHIKSHAK SAHAKARI BANK,5209,328.979,7570,349.915,May 2019
SHINHAN BANK,26669,14341.108,21547,15499.085,May 2019
SHIVALIK MERCANTILE CO-OP BANK,10603,1001.088,10999,686.172,May 2019
SHRI CHHATRAPATI SHAHU URBAN CO-OP BANK,16444,993.188,10575,935.838,May 2019
SIDBI BANK,0,0.000,0,0.000,May 2019
SIR M.VISVESWARAYA CO-OP BANK,1424,170.083,1089,100.858,May 2019
SOCIETE GENERALE,9032,19311.198,312,11553.860,May 2019
SOLAPUR JANATA SAHAKARI BANK,10741,2015.465,15491,1893.406,May 2019
SOUTH INDIAN BANK,716595,62062.543,960094,64430.247,May 2019
STANDARD CHARTERED BANK,3973826,644378.415,1611533,460706.033,May 2019
STATE BANK OF INDIA,21944022,3030107.884,52318183,3655137.506,May 2019
SUMITOMO MITSUI BANKING CORP,14941,16205.465,4210,28782.319,May 2019
SURAT DIST CO-OP BANK,30173,6880.777,25796,8148.634,May 2019
SURAT NATIONAL CO-OP BANK,13970,1160.742,15109,715.920,May 2019
SURAT PEOPLES CO-OP BANK,30814,2434.381,43578,2519.462,May 2019
SURYODAY SMALL FINANCE BANK,85727,4096.871,5625,360.704,May 2019
SUTEX CO-OP BANK,21189,881.464,23963,1555.112,May 2019
SYNDICATE BANK,1443445,197646.435,3251529,237397.694,May 2019
SHRI VEERSHAIV CO-OP BANK,4737,362.409,1597,179.571,May 2019
SINDHUDURG DCCB,5974,307.384,9383,239.375,May 2019
TAMIL NADU STATE APEX CO-OP BANK,103417,2971.851,72395,3869.422,May 2019
TAMILNADU MERCANTILE BANK,454202,45716.481,705570,45207.880,May 2019
TELANGANA STATE CO-OP APEX BANK,34759,2333.943,36567,2222.416,May 2019
TEXTILE TRADERS CO-OP BANK,2646,280.112,1893,151.840,May 2019
THANE BHARAT SAHAKARI BANK,10873,1281.971,26811,1702.142,May 2019
THANE DIST CENTRAL CO-OP BANK,20536,2620.552,62495,2129.075,May 2019
THANE JANATA SAHAKARI BANK,95715,9559.751,190419,10963.886,May 2019
A P MAHESH URBAN CO-OP BANK,16890,3602.770,35362,4411.172,May 2019
AP STATE CO-OP BANK,45064,1563.485,31821,2001.549,May 2019
BARAMATI SAHAKARI BANK,8556,552.193,11278,826.053,May 2019
GUJARAT STATE CO-OP BANK,91966,18677.694,158598,15305.778,May 2019
HARYANA STATE CO-OP APEX BANK,1827,98.990,1816,585.229,May 2019
HASTI CO-OP BANK,6046,366.584,5267,436.328,May 2019
KANGRA CENTRAL CO-OP BANK,37616,1320.752,42920,2217.153,May 2019
KANGRA CO-OP BANK,4451,556.485,14292,429.316,May 2019
KERALA STATE CO-OP BANK,816,1700.939,429,2203.853,May 2019
NASIK MERCHANTS CO-OP BANK,13969,793.908,20148,1139.857,May 2019
NAVNIRMAN CO-OP BANK,4749,310.177,9441,645.148,May 2019
PANDHARPUR URBAN CO-OP BANK,3427,400.242,3051,597.273,May 2019
RAJASTHAN STATE CO-OP BANK,50537,1937.760,266219,2534.052,May 2019
SAHEBRAO DESHMUKH CO-OP BANK,3482,988.180,9304,465.813,May 2019
URBAN CO-OP BANK,1536,457.406,133,11.158,May 2019
VARACHHA CO-OP BANK,21235,1789.041,44712,1605.946,May 2019
VIJAY CO-OP OP BANK,2795,182.473,107,13.986,May 2019
VISHWESHWAR SAHAKARI BANK,10569,957.286,24599,1373.389,May 2019
ZOROASTRIAN CO-OP BANK,5108,198.840,7747,628.843,May 2019
TUMKUR GRAIN MERCHANTS CO-OP BANK,8226,751.434,5944,475.222,May 2019
GADCHIROLI DIST CO-OP BANK,8662,490.072,53927,573.679,May 2019
THRISSUR DIST CO-OP BANK,4219,357.123,10016,493.599,May 2019
UCO BANK,700917,61950.582,2778468,96464.096,May 2019
UJJIVAN SMALL FINANCE BANK,44476,2532.627,57339,7694.622,May 2019
UNION BANK OF INDIA,2406990,335670.742,5920284,409103.410,May 2019
UNITED BANK OF INDIA,1136191,71931.987,3624377,99558.797,May 2019
UNITED OVERSEAS BANK,83,131.295,36,18.870,May 2019
UTKARSH SMALL FINANCE BANK,128896,4736.087,13844,1698.130,May 2019
VASAI VIKAS SAHAKARI BANK,5103,495.701,19176,992.290,May 2019
VIJAYA BANK,781596,66275.340,1821857,126574.167,May 2019
VASAI JANATA SAHAKARI BANK,3419,614.124,3688,264.373,May 2019
WEST BENGAL STATE CO-OP BANK,53210,1307.853,195768,4337.202,May 2019
WESTPAC BANKING CORP,2197,361.120,52,2053.017,May 2019
WOORI BANK,9315,3618.983,1616,9801.974,May 2019
YES BANK,11614609,725009.889,3504144,608510.043,May 2019
ZILA SAHKARI BANK GHAZIABAD,4037,767.754,6469,518.358,May 2019
ABHYUDAYA CO-OP BANK,84804,3508.055,197811,6981.314,June 2019
ABU DHABI COMMERCIAL BANK,2600,631.168,686,158.564,June 2019
AHMEDABAD MERCANTILE CO-OP BANK,18060,1596.957,31594,2148.633,June 2019
AHMEDNAGAR MERCHANTS CO-OP BANK,6812,971.725,5992,1430.529,June 2019
AIRTEL PAYMENTS BANK,271436,23213.522,113543,8929.784,June 2019
AKOLA DIST CENTRAL CO-OP BANK,13388,1336.129,17840,1014.660,June 2019
ALLAHABAD BANK,1424170,116506.673,3363787,162015.983,June 2019
ALMORA URBAN CO-OP BANK,11717,618.702,21242,954.606,June 2019
AMBARNATH JAI HIND CO-OP BANK,1705,130.830,6513,135.890,June 2019
ANDHRA BANK,957909,113539.420,3380618,172271.582,June 2019
ANDHRA PRAGATHI GRAMEENA BANK,35414,2202.982,94974,3178.582,June 2019
ANZ BANKING GROUP,30552,12707.579,7215,7659.417,June 2019
APANA SAHAKARI BANK,14048,929.609,52560,2316.802,June 2019
AU SMALL FINANCE BANK,135823,16188.428,127623,21214.139,June 2019
AXIS BANK,15886343,1054979.707,9170701,1003208.620,June 2019
ADITYA BIRLA IDEA PAYMENTS BANK,4253,26.021,10586,1078.573,June 2019
AKOLA JANATA COMMERCIAL CO-OP BANK,15093,1046.971,13488,1343.907,June 2019
ANDHRA PRADESH GRAMEEN VIKAS BANK,46336,2198.983,549991,7282.462,June 2019
BANK N PARIBAS,298242,106260.059,141885,222145.370,June 2019
BANDHAN BANK,411142,21508.237,425129,23866.138,June 2019
BANK INTERNASIONAL INDONESIA,1081,149.244,35,21.641,June 2019
BANK OF AMERICA,598057,137941.199,113241,110433.490,June 2019
BANK OF BAHARIEN AND KUWAIT,13840,4427.657,2116,1036.696,June 2019
BANK OF BARODA,3209160,256901.926,9641092,429849.824,June 2019
BANK OF CEYLON,1619,68.843,567,132.787,June 2019
BANK OF INDIA,2475984,117634.985,7181096,326047.133,June 2019
BANK OF MAHARASHTRA,1060109,74502.234,2462642,108107.791,June 2019
BANK OF NOVA SCOTIA,743,272.645,617,3909.308,June 2019
BANK OF TOKYO AND MITSUBISHI,60772,27952.591,8734,23978.590,June 2019
BARCLAYS BANK,41740,16836.715,6576,20898.045,June 2019
BASSEIN CATHOLIC CO-OP BANK,34210,2604.921,66565,3456.554,June 2019
BHAGINI NIVEDITA SAHAKARI BANK,3245,94.770,4433,132.842,June 2019
BHARAT CO-OP BANK,88760,5329.701,161845,8393.006,June 2019
CANARA BANK,2946319,271039.726,5940847,422867.438,June 2019
CAPITAL LOCAL AREA BANK,33574,2144.132,42085,3435.304,June 2019
CATHOLIC SYRIAN BANK,132876,7362.011,181288,8362.797,June 2019
CENTRAL BANK OF INDIA,2531668,162559.342,5613107,235168.240,June 2019
CITI BANK,7214580,1146793.743,2515673,829905.602,June 2019
CITIZEN CREDIT CO-OP BANK,11593,761.574,27905,1350.715,June 2019
CITY UNION BANK,908816,50068.331,678220,43769.612,June 2019
CORP BANK,2157623,92037.748,2556301,219408.693,June 2019
COSMOS CO-OP BANK,117668,12828.032,198954,14968.860,June 2019
CREDIT AGRICOLE CORP AND INVESTMENT BANK,10536,3918.365,711,16516.675,June 2019
CREDIT SUISSE AG,66,7.213,31,58.186,June 2019
CTBC BANK CO-OP,1020,171.448,693,1458.327,June 2019
DCB BANK,285217,21200.969,374064,27739.706,June 2019
DELHI STATE CO-OP OP BANK,2342,102.781,7078,254.885,June 2019
DENA BANK,446512,36948.039,1368321,60474.074,June 2019
DEOGIRI NAGARI SAHAKARI BANK,4951,512.143,12235,533.915,June 2019
DEUTSCHE BANK,3035022,344837.975,473431,283720.223,June 2019
DEVELOPMENT BANK OF SINGAPORE,497263,89144.955,157418,50570.823,June 2019
DHANLAXMI BANK,139222,5402.941,166161,8205.979,June 2019
DICGC BANK,96,10.110,79,2.680,June 2019
DMK JAOLI BANK,3171,287.998,10768,383.720,June 2019
DOHA BANK QSC,26981,3348.720,854,182.037,June 2019
DOMBIVLI NAGRIK SAHAKARI BANK,18258,1830.440,57453,2567.666,June 2019
DURGAPUR STEEL PEOPLES CO-OP BANK,1578,46.583,1189,30.755,June 2019
EMIRATES NBD BANK PJSC,190,187.904,715,1745.580,June 2019
EQUITAS SMALL FINANCE BANK,98964,5689.997,71280,4063.199,June 2019
ESAF SMALL FINANCE BANK,13154,704.404,32448,1742.265,June 2019
EXPORT IMPORT BANK OF INDIA,0,0.000,165,715.163,June 2019
FEDERAL BANK,2057786,132486.083,1778598,109652.938,June 2019
FINCARE SMALL FINANCE BANK,6585,1452.354,5615,691.215,June 2019
FINO PAYMENTS BANK,323375,6047.777,81879,3101.632,June 2019
FIRSTRAND BANK,200,186.441,45,1566.017,June 2019
GOPINATH PATIL PARSIK JAN SAHA BANK,31201,2565.182,80576,3515.121,June 2019
GREATER BOMBAY CO-OP BANK,8839,384.185,34303,1024.588,June 2019
HDFC BANK,28498860,2864944.574,15548795,2441601.665,June 2019
HIMACHAL PRADESH STATE CO-OP,47827,1413.183,52077,2020.946,June 2019
HSBC BANK,2083449,425584.584,757715,340432.992,June 2019
ICICI BANK,15818348,1163910.077,11959976,1469116.753,June 2019
IDBI BANK,6103340,387658.984,3813794,391495.039,June 2019
IDFC BANK,538332,77487.173,432863,100865.988,June 2019
IDUKKI DIST CO-OP BANK,5208,530.572,2660,204.929,June 2019
INDIA POST PAYMENTS BANK,52865,1564.116,20078,355.133,June 2019
INDIAN BANK,1241770,106097.605,3985627,184832.270,June 2019
INDIAN OVERSEAS BANK,1513814,95808.009,3362172,156063.372,June 2019
INDUSIND BANK,3745815,352421.104,1580520,273156.463,June 2019
INDUSTRIAL AND CO-OP BANK OF CHINA,772,1152.122,150,3726.833,June 2019
INDUSTRIAL BANK OF KOREA,1623,487.385,241,1379.570,June 2019
IRINJALAKUDA TOWN CO-OP BANK,1134,50.765,807,50.957,June 2019
JALGAON JANATA SAHKARI BANK,10931,529.589,15968,1029.429,June 2019
JALGAON PEOPLES CO-OP BANK,16289,2774.984,28158,1197.175,June 2019
JAMMU AND KASHMIR BANK,522747,64238.842,461210,30902.092,June 2019
JANA SMALL FINANCE BANK,43059,2984.136,13054,2307.127,June 2019
JANAKALYAN SAHAKARI BANK,13351,1137.781,32421,1497.709,June 2019
JANATA SAHAKARI BANK,57632,4464.128,86647,5248.983,June 2019
JANSEVA SAHAKARI BANK BORIVILI,3574,536.110,8419,328.576,June 2019
JANSEVA SAHAKARI BANK PUNE,8505,372.871,34384,1122.380,June 2019
JP MORGAN BANK,384089,66006.414,13422,56200.176,June 2019
JIO PAYMENTS BANK,1706,15.640,130,2.854,June 2019
KALLAPPANNA AWADE IJSB,16347,997.045,19729,1586.779,June 2019
KALUPUR COMM CO-OP BANK,52866,3887.262,87138,6612.952,June 2019
KALYAN JANATA SAHAKARI BANK,11754,1054.407,42898,1674.203,June 2019
KARAD URBAN CO-OP BANK,17410,967.451,26575,2596.506,June 2019
KARNATAKA BANK,441959,32270.292,1127483,52260.986,June 2019
KARNATAKA STATE CO-OP APEX BANK,85079,3637.917,95259,4362.132,June 2019
KARNATAKA VIKAS GRAMEEN BANK,58330,11056.174,134978,5412.828,June 2019
KARUR VYSYA BANK,935227,69336.547,1418755,83620.924,June 2019
KAVERI GRAMEENA BANK,30181,6181.105,99685,4165.526,June 2019
KOREA EXCHANGE BANK,2134,2009.412,709,10301.699,June 2019
KOTAK MAHINDRA BANK,7401381,547740.106,4342749,593767.207,June 2019
KURMANCHAL NAGAR SAHAKARI BANK,15258,1124.254,13545,798.763,June 2019
KERALA GRAMIN BANK,73158,9202.848,320984,6654.690,June 2019
KOZHIKODE DIST CO-OP BANK,5592,601.532,8152,419.832,June 2019
KRUNG THAI BANK PCL,86,5.976,7,6.365,June 2019
LAKSHMI VILAS BANK,337010,18196.277,334896,24371.898,June 2019
MAHANAGAR CO-OP BANK,15655,1402.222,41363,2274.815,June 2019
MAHARASHTRA GRAMIN BANK,79119,10369.006,241139,6775.364,June 2019
MAHARASHTRA STATE CO-OP BANK,5271,1353.419,11957,14927.724,June 2019
MAHESH SAHAKARI BANK PUNE,6361,388.292,2946,362.744,June 2019
MASHREQ BANK,675,566.215,48,64.661,June 2019
MEHSANA URBAN CO-OP BANK,34705,2385.758,45794,3963.463,June 2019
MIZUHO CORP BANK,29030,21767.159,5667,28002.157,June 2019
MUMBAI DIST CENTRAL CO-OP BANK,20497,953.333,25723,1775.936,June 2019
MUNICIPAL CO-OP BANK,3193,156.768,3893,111.276,June 2019
NABARD BANK,818,16018.450,13,0.685,June 2019
NAGAR URBAN CO-OP BANK,11390,1132.183,10535,772.238,June 2019
NAGPUR NAGRIK SAHAKARI BANK,11864,733.014,19129,1238.197,June 2019
NAINITAL BANK,41421,2817.624,58386,3994.193,June 2019
NATIONAL AUSTRALIA BANK,0,0.000,1,0.000,June 2019
NATIONAL BANK OF ABU DHABI PJSC,391,608.507,13,132.323,June 2019
NAV JEEVAN CO-OP BANK,2808,196.190,866,81.971,June 2019
NEW INDIA CO-OP BANK,17493,798.942,35842,1303.739,June 2019
NILAMBUR CO-OP URBAN BANK,309,19.778,23,1.338,June 2019
NKGSB BANK,41919,3392.034,78513,4113.493,June 2019
NORTH EAST SMALL FINANCE BANK,15851,581.849,1208,56.241,June 2019
NSDL PAYMENTS BANK,5,0.068,13,0.098,June 2019
NUTAN NAGARIK SAHAKARI BANK,20286,1417.311,28992,2173.156,June 2019
ORIENTAL BANK OF COMMERCE,1210202,90869.333,2281977,150411.439,June 2019
PRATHAMA BANK,33209,6900.394,130699,4164.879,June 2019
PRIME CO-OP BANK SURAT,18838,1089.926,18787,885.153,June 2019
PUNJAB AND MAHARASHTRA CO-OP BANK,57527,2859.897,226533,6154.401,June 2019
PUNJAB AND SIND BANK,269274,21313.909,635900,36777.170,June 2019
PUNJAB NATIONAL BANK,3913688,291656.008,9573262,557284.828,June 2019
PAYTM PAYMENTS BANK,250842,86391.991,267609,89288.598,June 2019
PRAGATHI KRISHNA GRAMIN BANK,54803,11232.376,139486,8136.466,June 2019
QATAR NATIONAL BANK,17,17.129,14,15.094,June 2019
RABOBANK INTERNATIONAL,2381,3265.165,257,3326.815,June 2019
RAJARAMBAPU SAHAKARI BANK,12466,1088.322,4082,480.042,June 2019
RAJGURUNAGAR SAHAKARI BANK,10167,443.662,18495,569.450,June 2019
RAJKOT NAGARIK SAHAKARI BANK,15005,918.569,27135,1235.005,June 2019
RBI PAD,26730471,1864826.944,996837,133058.417,June 2019
RBL BANK,2658273,97347.045,920647,95005.206,June 2019
SAMARTH SAHAKARI BANK SOLAPUR,3789,210.428,6223,262.869,June 2019
SANT SOPANKAKA SAHAKARI BANK,2226,107.330,263,19.077,June 2019
SARASWAT CO-OP BANK,311567,20465.640,559107,35431.434,June 2019
SBER BANK,172,89.141,34,117.774,June 2019
SBM BANK INDIA,1579,569.719,1259,1457.734,June 2019
SEVA VIKAS CO-OP BANK,6929,323.838,28735,928.832,June 2019
SHAMRAO VITHAL CO-OP BANK,187247,12916.905,315243,17772.110,June 2019
SHIKSHAK SAHAKARI BANK,4861,224.584,6740,362.686,June 2019
SHINHAN BANK,23693,9122.735,18495,13388.749,June 2019
SHIVALIK MERCANTILE CO-OP BANK,9946,876.063,9598,557.050,June 2019
SHRI CHHATRAPATI SHAHU URBAN CO-OP BANK,15172,907.392,9770,646.702,June 2019
SIDBI BANK,0,0.000,0,0.000,June 2019
SIR M.VISVESWARAYA CO-OP BANK,1389,263.896,1208,96.491,June 2019
SOCIETE GENERALE,9233,13154.787,276,11425.964,June 2019
SOLAPUR JANATA SAHAKARI BANK,9772,1922.569,16732,1691.300,June 2019
SOUTH INDIAN BANK,660142,46696.103,906958,51252.844,June 2019
STANDARD CHARTERED BANK,3615159,548847.702,1601494,387300.731,June 2019
STATE BANK OF INDIA,19041509,2156582.625,48285999,3060631.308,June 2019
SUMITOMO MITSUI BANKING CORP,14515,20036.069,3721,27673.607,June 2019
SURAT DIST CO-OP BANK,10829,1642.234,22636,2585.368,June 2019
SURAT NATIONAL CO-OP BANK,12671,903.634,13423,558.797,June 2019
SURAT PEOPLES CO-OP BANK,28455,2018.631,40810,1935.715,June 2019
SURYODAY SMALL FINANCE BANK,74329,3767.944,5764,385.135,June 2019
SUTEX CO-OP BANK,18921,705.922,21035,1205.750,June 2019
SYNDICATE BANK,1283435,164164.210,3013933,178898.874,June 2019
SHRI VEERSHAIV CO-OP BANK,4075,330.863,1447,129.975,June 2019
SINDHUDURG DCCB,6957,276.506,6084,164.912,June 2019
TAMIL NADU STATE APEX CO-OP BANK,96655,2611.815,68555,4319.423,June 2019
TAMILNADU MERCANTILE BANK,423438,30229.942,656957,38320.464,June 2019
TELANGANA STATE CO-OP APEX BANK,49490,3127.547,160670,3282.482,June 2019
TEXTILE TRADERS CO-OP BANK,2230,104.488,1666,123.803,June 2019
THANE BHARAT SAHAKARI BANK,10361,1870.027,25523,1953.454,June 2019
THANE DIST CENTRAL CO-OP BANK,35899,2877.999,62475,2100.288,June 2019
THANE JANATA SAHAKARI BANK,88436,5715.232,178023,9087.256,June 2019
A P MAHESH URBAN CO-OP BANK,14982,3050.186,32115,2789.661,June 2019
AP STATE CO-OP BANK,32327,1266.829,20697,1512.679,June 2019
BARAMATI SAHAKARI BANK,7510,428.051,10486,618.012,June 2019
GUJARAT STATE CO-OP BANK,82427,11042.727,139239,12690.748,June 2019
HARYANA STATE CO-OP APEX BANK,1450,50.157,1348,181.926,June 2019
HASTI CO-OP BANK,6289,356.824,5168,350.284,June 2019
KANGRA CENTRAL CO-OP BANK,36630,1269.794,41011,2293.126,June 2019
KANGRA CO-OP BANK,5602,533.700,13029,375.740,June 2019
KERALA STATE CO-OP BANK,784,298.692,848,3180.079,June 2019
NASIK MERCHANTS CO-OP BANK,12329,719.445,17962,983.202,June 2019
NAVNIRMAN CO-OP BANK,4492,262.042,8741,539.021,June 2019
PANDHARPUR URBAN CO-OP BANK,3289,157.529,3689,473.090,June 2019
RAJASTHAN STATE CO-OP BANK,37883,1794.661,252699,3245.935,June 2019
SAHEBRAO DESHMUKH CO-OP BANK,3181,665.879,8821,374.328,June 2019
URBAN CO-OP BANK,1313,197.756,142,11.250,June 2019
VARACHHA CO-OP BANK,20071,1474.128,40464,1301.904,June 2019
VIJAY CO-OP OP BANK,2826,188.860,223,18.375,June 2019
VISHWESHWAR SAHAKARI BANK,9788,970.979,22658,1224.673,June 2019
ZOROASTRIAN CO-OP BANK,4952,160.403,6910,463.358,June 2019
TUMKUR GRAIN MERCHANTS CO-OP BANK,7874,590.666,5486,504.270,June 2019
GADCHIROLI DIST CO-OP BANK,5229,503.971,37973,530.296,June 2019
THRISSUR DIST CO-OP BANK,3808,330.569,6438,319.698,June 2019
UCO BANK,635617,47868.237,2555506,101908.769,June 2019
UJJIVAN SMALL FINANCE BANK,44919,2199.033,57837,6987.364,June 2019
UNION BANK OF INDIA,2192642,249598.171,5338140,341933.265,June 2019
UNITED BANK OF INDIA,1116109,60921.246,3645175,100664.311,June 2019
UNITED OVERSEAS BANK,70,5.425,21,322.784,June 2019
UTKARSH SMALL FINANCE BANK,110986,3879.607,13109,1009.926,June 2019
VASAI VIKAS SAHAKARI BANK,4737,325.074,17829,740.936,June 2019
VIJAYA BANK,710573,50023.855,1677501,89599.445,June 2019
VASAI JANATA SAHAKARI BANK,2861,594.990,3666,189.762,June 2019
WEST BENGAL STATE CO-OP BANK,43248,1188.692,173732,4620.007,June 2019
WESTPAC BANKING CORP,1175,79.470,25,52.908,June 2019
WOORI BANK,8980,2561.775,1388,1817.611,June 2019
YES BANK,11774798,591300.578,2930791,488029.238,June 2019
ZILA SAHKARI BANK GHAZIABAD,1745,318.969,5862,364.160,June 2019
ABHYUDAYA CO-OP BANK,95585,3935.064,216209,7415.388,July 2019
ABU DHABI COMMERCIAL BANK,3285,736.118,752,407.117,July 2019
AHMEDABAD MERCANTILE CO-OP BANK,20607,1805.114,35871,2505.836,July 2019
AHMEDNAGAR MERCHANTS CO-OP BANK,7576,749.565,7553,1780.205,July 2019
AIRTEL PAYMENTS BANK,345731,27341.398,101411,9413.286,July 2019
AKOLA DIST CENTRAL CO-OP BANK,16504,906.477,25282,1210.347,July 2019
ALLAHABAD BANK,1425058,95964.654,3619253,160302.991,July 2019
ALMORA URBAN CO-OP BANK,15215,602.072,29428,1028.614,July 2019
AMBARNATH JAI HIND CO-OP BANK,2009,131.384,7759,187.803,July 2019
ANDHRA BANK,1044513,112795.131,3388663,170389.411,July 2019
ANDHRA PRAGATHI GRAMEENA BANK,41316,2632.960,119419,3475.669,July 2019
ANZ BANKING GROUP,30774,21428.535,8486,10445.096,July 2019
APANA SAHAKARI BANK,16588,1069.919,59461,2657.201,July 2019
AU SMALL FINANCE BANK,153474,16287.228,145727,18829.615,July 2019
AXIS BANK,18603582,1106376.760,10084874,1058027.564,July 2019
ADITYA BIRLA IDEA PAYMENTS BANK,3270,18.483,7485,718.128,July 2019
